id,name,instructions,short_description,category,sub_category,image,difficulty_level,rep_range_min,rep_range_max,recommended_duration_seconds,recommended_rest_seconds,estimated_calories_per_minute,range_of_motion,injury_risk_level,next_progression_exercise,previous_progression_exercise
1,Developpe Halteres 62,Instructions generees pour Developpe Halteres 62. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_1.png,Avance,8,5,90,30,9.0,Etendu,Eleve,,
2,Squat Decline 95,Instructions generees pour Squat Decline 95. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_2.png,Intermediaire,3,5,30,30,5.0,Partiel,Moyen,,
3,Developpe Decline 32,Instructions generees pour Developpe Decline 32. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_3.png,Avance,3,5,30,60,5.0,Partiel,Eleve,,
4,Session Sprint 4,Instructions generees pour Session Sprint 4. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_4.png,Avance,,,1200,0,8.0,Partiel,Moyen,,
5,Crunch Incline 42,Instructions generees pour Crunch Incline 42. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_5.png,Avance,5,8,45,60,5.0,Etendu,Eleve,,
6,Session Endurance 6,Instructions generees pour Session Endurance 6. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_6.png,Debutant,,,1800,0,15.0,Complet,Moyen,,
7,Tirage Saute 7,Instructions generees pour Tirage Saute 7. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_7.png,Avance,8,10,60,30,8.0,Etendu,Faible,,
8,Tirage Lent 8,Instructions generees pour Tirage Lent 8. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_8.png,Avance,10,20,90,120,4.0,Partiel,Faible,,
9,Session Fractionne 9,Instructions generees pour Session Fractionne 9. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_9.png,Intermediaire,,,1200,0,8.0,Etendu,Moyen,,
10,Session Fractionne 10,Instructions generees pour Session Fractionne 10. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_10.png,Intermediaire,,,1200,0,15.0,Partiel,Moyen,,
11,Session Sprint 11,Instructions generees pour Session Sprint 11. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_11.png,Intermediaire,,,1800,0,8.0,Partiel,Faible,9,8
12,Gainage Statique 12,Instructions generees pour Gainage Statique 12. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_12.png,Debutant,8,20,30,60,5.0,Etendu,Faible,11,10
